epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,0.5,0.4,0.3,0.600,0.600,0.500,0.75,0.4,0.3,0.2,0.01,0.01,0.01
1,0.5,0.4,0.3,0.607,0.607,0.509,0.75,0.4,0.3,0.2,0.01,0.01,0.01
2,0.5,0.4,0.3,0.615,0.614,0.519,0.75,0.4,0.3,0.2,0.01,0.01,0.01
3,0.5,0.4,0.3,0.622,0.621,0.528,0.75,0.4,0.3,0.2,0.01,0.01,0.01
4,0.5,0.4,0.3,0.629,0.629,0.537,0.75,0.4,0.3,0.2,0.01,0.01,0.01
5,0.5,0.4,0.3,0.637,0.636,0.547,0.75,0.4,0.3,0.2,0.01,0.01,0.01
6,0.5,0.4,0.3,0.644,0.643,0.556,0.75,0.4,0.3,0.2,0.01,0.01,0.01
7,0.5,0.4,0.3,0.651,0.650,0.565,0.75,0.4,0.3,0.2,0.01,0.01,0.01
8,0.5,0.4,0.3,0.659,0.657,0.575,0.75,0.4,0.3,0.2,0.01,0.01,0.01
9,0.5,0.4,0.3,0.666,0.664,0.584,0.75,0.4,0.3,0.2,0.01,0.01,0.01
10,0.5,0.4,0.3,0.673,0.671,0.593,0.75,0.4,0.3,0.2,0.01,0.01,0.01
11,0.5,0.4,0.3,0.681,0.679,0.603,0.75,0.4,0.3,0.2,0.01,0.01,0.01
12,0.5,0.4,0.3,0.688,0.686,0.612,0.75,0.4,0.3,0.2,0.01,0.01,0.01
13,0.5,0.4,0.3,0.696,0.693,0.622,0.75,0.4,0.3,0.2,0.01,0.01,0.01
14,0.5,0.4,0.3,0.703,0.700,0.631,0.75,0.4,0.3,0.2,0.01,0.01,0.01
15,0.5,0.4,0.3,0.710,0.707,0.640,0.75,0.4,0.3,0.2,0.01,0.01,0.01
16,0.5,0.4,0.3,0.718,0.714,0.650,0.75,0.4,0.3,0.2,0.01,0.01,0.01
17,0.5,0.4,0.3,0.725,0.721,0.659,0.75,0.4,0.3,0.2,0.01,0.01,0.01
18,0.5,0.4,0.3,0.732,0.729,0.668,0.75,0.4,0.3,0.2,0.01,0.01,0.01
19,0.5,0.4,0.3,0.740,0.736,0.678,0.75,0.4,0.3,0.2,0.01,0.01,0.01
20,0.5,0.4,0.3,0.747,0.743,0.687,0.75,0.4,0.3,0.2,0.01,0.01,0.01
21,0.5,0.4,0.3,0.754,0.750,0.696,0.75,0.4,0.3,0.2,0.01,0.01,0.01
22,0.5,0.4,0.3,0.762,0.757,0.706,0.75,0.4,0.3,0.2,0.01,0.01,0.01
23,0.5,0.4,0.3,0.769,0.764,0.715,0.75,0.4,0.3,0.2,0.01,0.01,0.01
24,0.5,0.4,0.3,0.776,0.771,0.724,0.75,0.4,0.3,0.2,0.01,0.01,0.01
25,0.5,0.4,0.3,0.784,0.779,0.734,0.75,0.4,0.3,0.2,0.01,0.01,0.01
26,0.5,0.4,0.3,0.791,0.786,0.743,0.75,0.4,0.3,0.2,0.01,0.01,0.01
27,0.5,0.4,0.3,0.798,0.793,0.752,0.75,0.4,0.3,0.2,0.01,0.01,0.01
28,0.5,0.4,0.3,0.806,0.800,0.762,0.75,0.4,0.3,0.2,0.01,0.01,0.01
